Nome,Preço
"Notebook Dell Inspiron 15 3530, 15.6"" Full HD (1920x1080), Intel Core i5‑1334U, 8 GB RAM, 512 GB SSD, Windows 11 Home, Preto","R$4.249,00"
"Notebook ASUS Vivobook 15 M1502YA AMD Ryzen 7 5825U 8GB Ram 512GB SSD Linux KeepOS 15,6"" FHD Cool Silver - NJ611","R$2.974,14"
"Notebook ASUS Vivobook 15, Intel Core i5, 16 GB, 512 GB SSD W11 Home, 15.6'' FHD, Quiet Blue -X1504VA-NJ1745W","R$4.399,00"
"Notebook ASUS VivoBook Go 15, AMD RYZEN 5 7520U, 8GB, 512GB SSD, KeepOS, Tela 15,6"" FHD, Mixed Black - E1504FA-NJ732","R$3.449,73"
"Notebook Lenovo IdeaPad Slim 3 Core i5-13420H 8GB 512GB SSD Tela 15.3"" Touch Screen - 83NS000ABR W11","R$4.199,00"
"Notebook Lenovo IdeaPad Slim 3 15IRH10 Intel Core i5-13420H 8GB 512GB SSD Windows 11 15.3"" - 83NS0002BR Luna Grey","R$3.699,00"
"Notebook 2 em 1 Positivo Duo Intel Celeron N4500 8GB RAM 128GB de Armazenamento, Tela 11"" HD IPS touch com caneta capacitiva, Windows 11 Home – Cinza – C8128E","R$1.979,10"
"Notebook 2 em 1 Positivo Duo Intel Celeron N4500 4GB RAM 128GB de Armazenamento Tela 11"" HD IPS touch com caneta capacitiva, Windows 11 Home – Cinza – C4128E","R$1.696,53"
"Notebook ASUS VivoBook Go 15, AMD RYZEN 5 7520U, 8GB, 256GB SSD, KeepOS, Tela 15,6"" FHD, Mixed Black - E1504FA-NJ731","R$2.803,99"
Notebook Acer Aspire Go 15 AG15-71P-5939 Intel core I5 13ª Geração 8GB RAM 256GB SSD Full HD TN Windows 11 Home,"R$4.299,00"
"Notebook ASUS VIVOBOOK GO 15, INTEL CELERON DUAL CORE N4500, 4 GB, 128 GB SSD W11 Home, 15,60"" LED, Star Black - E510KA-BR808WS","R$2.339,10"
"Notebook Positivo Vision C15M Intel Celeron N4500 Windows 11 Home 8GB RAM 128GB eMMC Tela 15"" Full HD IPS Antirreflexo - Minitela e Tecla Copilot - Permite Upgrade De Memória SSD - Cinza","R$2.287,78"
"Notebook ASUS Vivobook 15, Intel Core i5, 8 GB, 256 GB SSD W11 Home, 15.6'' FHD, Cool Silver - X1504VA-NJ1738W","R$3.499,00"
"Samsung Galaxy Book4 Intel® Core™ i3-1315U, Windows 11 Home, 8GB, 256GB SSD, UHD Graphics, 15.6'' Full HD LED, 1.55kg*.","R$3.599,09"
"Notebook Positivo Vision i15M Intel Core i3 N300 8GB 256GB SSD Wi-Fi 6 Windows 11 – Tela 15,6"" Full HD IPS Antirreflexo – Minitela - Permite upgrade de memória RAM e SSD – Preto","R$2.799,00"
"Notebook Positivo Vision C14, Intel Celeron N4500, 8GB RAM, 128GB eMMC, Tela 14"" HD, Windows 11, Lumina BAR, Cinza","R$1.934,10"
